Month,Group/Artist,Song,Score,Comment,Youtube Link,Rules:,https://docs.google.com/document/d/1fCOUayB2IzAe-MgeLFxAJ3PdbElL-ArnGOlHI-gQH2I/edit?usp=sharing,Song Count:,201
Nine ,"Swings, Mckdaddy, Khakii, Layone",Want It (prod. Code Kunst) ft Paloalto ,5,,https://www.youtube.com/watch?v=r6cfL2JtzCs,,,,
Nine ,"Heo Sunghyun, dsel, Kaogaii, Untell ","Win Win (prod. Bewhy) ft Gaeko, Bewhy",5,,https://www.youtube.com/watch?v=VoADhji6_jM,,,,
Nine ,"Miranni, Muchman, khundi Panda, Mushvenom ",VVS (prod. Groovyroom) ft justhis ,8,,https://www.youtube.com/watch?v=mZInUHwmzN8,,,,
Nine ,"Lil Boi, Wonstein, Chillin Homie, Shyminhyuk",Freak (prod. SLOM) ,5,,https://www.youtube.com/watch?v=1j-1O_H4nUU,,,,
Nine ,Untell,Peter Pan (prod. Bewhy) ,5,,https://www.youtube.com/watch?v=FuI9ztAOUVU,,,,
Nine ,Swings ,Upgrade 2020 (prod. Code Kunst) ft paloalto,5,,https://www.youtube.com/watch?v=iqBrc1X-R5s,,,,
Nine ,Kaogaii ,Bakchigi (prod. Nutty) ft Dynamic Duo ,5,,https://www.youtube.com/watch?v=RU4NSEJate0,,,,
Nine ,Layone,"Mask On (prod. Code Kunst) ft Paloalto, Coogie ",5,,https://www.youtube.com/watch?v=j-oE523gP-8,,,,
Nine ,Miranni ,"Achoo (prod. Groovyroom) ft Haon, pH-1",5,,https://www.youtube.com/watch?v=WAWrnxpMHCw,,,,
Nine ,Skyminhyuk ,"Flashing ft Han Yohan, OLNL",5,,https://www.youtube.com/watch?v=qqMlTUr6PzU,,,,
Nine ,Khundi Panda,Roots (prod. Groovyroom) ft justhis ,5,,https://www.youtube.com/watch?v=WouANYtmDnA,,,,
Nine ,Lil Boi ,"When Tomorrow Comes/ Tomorrow ft Giriboy, Big Naughty",5,,https://www.youtube.com/watch?v=Ww147bBSIfo,,,,
Nine ,Mushvenom ,Tricker (prod. Groovyroom) ,5,,https://www.youtube.com/watch?v=z1hLXFkx6fg,,,,
Nine ,Wonstein ,Infrared Camera,5,,https://www.youtube.com/watch?v=XnBDMpEREis,,,,
Nine ,Untell,"Grain ft dynamic duo, bewhy",5,,https://www.youtube.com/watch?v=DUT_G5onzsY,,,,
Nine ,Mushvenom ,Godok (prod. Groovyroom) ft Superbee,5,Fuck Superbee,https://www.youtube.com/watch?v=nFDGlTs5374,,,,
Nine ,Layone,"iii (prod. Code Kunst) ft Basick, Kid Milli, Paloalto ",5,,https://www.youtube.com/watch?v=tmUhQuvL47w,,,,
Nine ,Wonstein ,"No Bad Dogs (prod. SLOM) ft Yang Donggeun, Zion T",5,,https://www.youtube.com/watch?v=wwhNUpB6lO4,,,,
Nine ,Swings ,"Villain (prod. Code Kunst) ft Lee Hi, Simon D ",5,,https://www.youtube.com/watch?v=y7GVCqziwrg,,,,
Nine ,Mirani ,Part Time (prod. Groovyroom) ft Queen Wa$abii,5,,https://www.youtube.com/watch?v=tPHrA3hqMlE,,,,
Nine ,Lil Boi ,Bad News Cypher vol. 2 (prod. SLOM) ft. TakeOne ,5,,https://www.youtube.com/watch?v=MmbSoHAp2pE,,,,
Nine ,Khundi Panda ,"Hero (prod. Groovyroom) ft justhis, Golden",5,,https://www.youtube.com/watch?v=7fyD4aZELd0,,,,
Nine ,Mushvenom ,"Go (prod. SLO) ft Simon D, The Quiett ",5,,https://www.youtube.com/watch?v=tECEIpzAlPk,,,,
